Name	Transmitancia	Concentracao	Tamanho(x)	Carga	Unnamed: 6	Unnamed: 7
20 mg - Int 15x A	31,035	20	15	0		
200mg-3x-MC-B	30,318	200	3	1		
Int 3x 2 mg - C	29,566	2	3	0		
200mg-3x-MC-D	29,34	200	3	1		
90 mg - Int 15x C	28,634	90	15	0		
90 mg - Int 15x B	27,171	90	15	0		
140mg-Int3xD	27,081	140	3	0		
90 mg - Int 15x D	27,006	90	15	0		
Int 3x 2 mg - D	26,958	2	3	0		
140mg-Int3xC	26,773	140	3	0		
90mg-15x-MC-B	25,414	90	15	1		
90mg-15x-MC-A	25,293	90	15	1		
90 mg - Int 15x A	24,995	90	15	0		
MC - 0x - 5 mg - D	24,708	5	0	1		
20mg-15x-MC-B	24,302	20	15	1		
50 mg - Int 15x B	23,247	50	15	0		
20mg-15x-MC-A	22,983	20	15	1		
140mg-0x-MC-B	22,708	140	0	1		
50 mg - Int 15x A	22,643	50	15	0		
MC - 0x - 5 mg - C	22,271	5	0	1		
140mg-0x-MC-A	21,107	140	0	1		
50mg-15x-MC-C	20,289	50	15	1		
90mg-15x-MC-C	19,675	90	15	1		
50mg-15x-MC-D	19,41	50	15	1		
90mg-15x-MC-D	19,188	90	15	1		
140mg-0x-MC-D	19,073	140	0	1		
140mg-Int3xA	17,355	140	3	0		
20mg-Int0xD	16,73	20	0	0		
140mg-Int3xB	16,525	140	3	0		
20mg-Int0xC	16,468	20	0	0		
90mg-Int3xC	16,114	90	3	0		
140mg-0x-MC-C	16,09	140	0	1		
200mg-Int3xB	15,979	200	3	0		
200mg-Int3xA	15,76	200	3	0		
90mg-Int3xD	15,705	90	3	0		
50mg-15x-MC-B	15,522	50	15	1		
50mg-15x-MC-A	15,467	50	15	1		
20mg-15x-MC-D	15,188	20	15	1		
20mg-15x-MC-C	14,74	20	15	1		
MC - 0x - 5 mg - A	14,618	5	0	1		
20 mg - Int 15x D	14,232	20	15	0		
50mg-Int0xB	13,908	50	0	0		
Int 0x 10 mg - C	13,644	10	0	0		
200mg-Int3xD	13,23	200	3	0		
MC - 0x - 5 mg - B	13,132	5	0	1		
Int 0x 10 mg - D	13,09	10	0	0		
50 mg - Int 15x D	12,745	50	15	0		
MC - 0x - 2 mg - B	12,741	2	0	1		
50mg-Int0xA	12,698	50	0	0		
200mg-Int3xC	12,597	200	3	0		
50 mg - Int 15x C	12,572	50	15	0		
200mg-15x-MC-C	12,048	200	15	1		
20mg-Int0xA	11,784	20	0	0		
20 mg - Int 15x C	11,78	20	15	0		
20mg-Int0xB	11,731	20	0	0		
MC - 0x - 2 mg - A	11,381	2	0	1		
200mg-15x-MC-D	11,007	200	15	1		
